scale,gb,records,config,best_warm_ms,best_warm_gb_per_s,pcie_gb,status,note
SF10,7.20,59986052,compact_baseline,352.20,20.44,14.40,PASS,fast-path single-chunk
SF50,36.00,300005811,compact_pre031,2624.99,13.71,21.00,SUPERSEDED,pre-0.3.1 slow path uploads full 66B keys
SF50,36.00,300005811,compact_post031,1507.08,23.89,10.80,PASS,post-0.3.1 compact-key upload (1.7x faster)
SF100,72.00,600037902,compact_pre031,4501.33,16.00,42.00,SUPERSEDED,pre-0.3.1
SF100,72.00,600037902,compact_post031,3024.19,23.81,21.60,PASS,post-0.3.1 first SF100 win vs RTX 6000 (3.74s)
SF300,216.00,1799989091,compact_baseline,8650.00,24.97,64.80,PASS,OVC architecture (0.3.1 doesn't apply -- already compact)
SF300,216.00,1799989091,compact_bitpack,8942.76,24.15,50.40,PASS,bitpack +13% throughput on top of OVC
SF500,360.00,3000028242,compact_baseline_1gpu,0,0,0,FAIL,GPU OOM 198 GB key buffer > 94 GB HBM
SF500,360.00,3000028242,compact_4gpu,6770.00,53.20,210.00,PASS,4-GPU position-sliced (15.4) -- aggregate
SF1000,720.00,5999989709,compact_baseline,0,0,0,FAIL,host pin OOM (triple-buffer after 720 GB input pin)
